"3-01 ニ～コニッコ動画♫.wav","CJ-01 ニ～コニッコ動画♫","ニ～コニッコ動画♫","ニーコニッコドウガ","超神社CF"
"3-02 この動画はご覧のユーザーの皆様が応援しています。.wav","CJ-02 この動画はご覧のユーザーの皆様が応援しています。","この動画はご覧のユーザーの皆様が応援しています。","コノドウガハゴランノユーザーノミナサマガオウエンシテイマス","超神社CF"
"3-03 ドワンゴが午前０時ぐらいをお知らせします。.wav","CJ-03 ドワンゴが午前０時ぐらいをお知らせします。","ドワンゴが午前０時ぐらいをお知らせします。","ドワンゴがゴゼンレイジグライヲオシラセシマス","超神社CF"
"3-04 ぴっぴっぴっ、ぽーーん.wav","CJ-04 ぴっぴっぴっ、ぽーーん","ぴっぴっぴっ、ぽーーん","ピッピッピッポーーン","超神社CF"
"3-05 いきなり！ 動画紹介.wav","CJ-05 いきなり！ 動画紹介","いきなり！ 動画紹介","イキナリ！ドウガショウカイ","超神社CF"
"3-06 どうせ時報女です。.wav","CJ-06 どうせ時報女です。","どうせ時報女です。","ドウセジホウオンナデス","超神社CF"
"3-07 本日はニコニコ動画に御アクセス頂き、ありがとうございます。.wav","CJ-07 本日はニコニコ動画に御アクセス頂き、ありがとうございます。","本日はニコニコ動画に御アクセス頂き、ありがとうございます。","ホンジツハニコニコドウガニゴアクセスイタダキアリガトウゴザイマス","超神社CF"
"3-08 大変申し訳ありませんが、この動画は大人の都合によりご覧になることが出来ません。.wav","CJ-08 大変申し訳ありませんが、この動画は大人の都合によりご覧になることが出来ません。","大変申し訳ありませんが、この動画は大人の都合によりご覧になることが出来ません。","タイヘンモウシワケアリマセンガコノドウガハオトナノツゴウニヨリゴランニナルコトガデキマセン","超神社CF"
"3-09 大変申し訳ありませんが、この動画はアップロード者が削除した為、ご覧になることが出来ません。.wav","CJ-09 大変申し訳ありませんが、この動画はアップロード者が削除した為、ご覧になることが出来ません。","大変申し訳ありませんが、この動画はアップロード者が削除した為、ご覧になることが出来ません。","タイヘンモウシワケアリマセンガコノドウガハアップロードシャガサクジョシタタメゴランニナルコトガデキマセン","超神社CF"
"3-10 大変申し訳ありませんが、この動画はアップロード者のアカウントが停止された為、ご覧になることが出来ません。.wav","CJ-10 大変申し訳ありませんが、この動画はアップロード者のアカウントが停止された為、ご覧になることが出来ません。","大変申し訳ありませんが、この動画はアップロード者のアカウントが停止された為、ご覧になることが出来ません。","タイヘンモウシワケアリマセンガコノドウガハアップロードシャノアカウントガテイシサレタタメゴランニナルコトガデキマセン","超神社CF"
"3-11 大変申し訳ありませんが、この動画は権利者の申し立てにより、削除されました。.wav","CJ-11 大変申し訳ありませんが、この動画は権利者の申し立てにより、削除されました。","大変申し訳ありませんが、この動画は権利者の申し立てにより、削除されました。","タイヘンモウシワケアリマセンガコノドウガハケンリシャノモウシタテニヨリサクジョサレマシタ","超神社CF"
"3-12 またの御アクセスをお待ちしております。.wav","CJ-12 またの御アクセスをお待ちしております。","またの御アクセスをお待ちしております。","マタノゴアクセスヲオマチシテオリマス","超神社CF"
"3-13 『蛍の光』の口笛.wav","CJ-13 『蛍の光』の口笛","『蛍の光』の口笛","ホタルノヒカリノクチブエ","超神社CF"
"3-14 いいね！.wav","CJ-14 いいね！","いいね！","イイネ！","超神社CF"
"3-15 読み込み中….wav","CJ-15 読み込み中…","読み込み中…","ヨミコミチュウ…","超神社CF"
"3-16 視聴できません.wav","CJ-17 視聴できません","視聴できません","シチョウデキマセン","超神社CF"
"3-17 鬱です.wav","CJ-18 鬱です","鬱です","ウツデス","超神社CF"
"3-18 ニコニコ超会議２０２３！.wav","CJ-19 ニコニコ超会議２０２３！","ニコニコ超会議２０２３！","ニコニコチョウカイギニセンニジュウサン！","超神社CF"
"3-19 ニコニコ超神社２０２３！.wav","CJ-20 ニコニコ超神社２０２３！","ニコニコ超神社２０２３！","ニコニコチョウジンジャニセンニジュウサン！","超神社CF"
"3-20 超神社サミット！.wav","CJ-21 超神社サミット！","超神社サミット！","チョウジンジャサミット！","超神社CF"
